"Date","Count","Hour","Temp","Hum","Wind","Visb","Dew","solar","Rain","Snow","Autumn","Spring","Summer","Winter","Holiday","Workday","NoFunc","Func","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Wday","Wend"
"2017-12-01"," 254"," 0"," -5.20000000000000018","37","2.20000000000000018","2000","-17.60000000000000142","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 173"," 2"," -6.00000000000000000","39","1.00000000000000000","2000","-17.69999999999999929","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 181"," 6"," -6.59999999999999964","35","1.30000000000000004","2000","-19.50000000000000000","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 460"," 7"," -7.40000000000000036","38","0.90000000000000002","2000","-19.30000000000000071","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 930"," 8"," -7.59999999999999964","37","1.10000000000000009","2000","-19.80000000000000071","0.010000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 490"," 9"," -6.50000000000000000","27","0.50000000000000000","1928","-22.39999999999999858","0.230000000000000010"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 339","10"," -3.50000000000000000","24","1.19999999999999996","1996","-21.19999999999999929","0.650000000000000022"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 360","11"," -0.50000000000000000","21","1.30000000000000004","1936","-20.19999999999999929","0.939999999999999947"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 449","12","  1.69999999999999996","23","1.39999999999999991","2000","-17.19999999999999929","1.110000000000000098"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 463","15","  2.10000000000000009","36","3.20000000000000018","2000","-11.40000000000000036","0.540000000000000036"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 862","18","  0.59999999999999998","66","1.39999999999999991","2000"," -5.00000000000000000","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 600","19","  0.00000000000000000","77","1.69999999999999996","2000"," -3.50000000000000000","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 426","20"," -0.29999999999999999","79","1.50000000000000000","1913"," -3.50000000000000000","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 398","22"," -0.90000000000000002","83","1.50000000000000000","1380"," -3.39999999999999991","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-01"," 323","23"," -1.30000000000000004","84","1.00000000000000000","1265"," -3.60000000000000009","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0"
"2017-12-02"," 328"," 0"," -1.80000000000000004","87","1.10000000000000009"," 994"," -3.60000000000000009","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 308"," 1"," -2.20000000000000018","86","0.59999999999999998"," 990"," -4.20000000000000018","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 262"," 2"," -2.89999999999999991","86","1.50000000000000000","1256"," -4.90000000000000036","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02","  89"," 4"," -3.79999999999999982","79","2.00000000000000000","1167"," -6.90000000000000036","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02","  79"," 5"," -4.00000000000000000","79","1.50000000000000000","1202"," -7.09999999999999964","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02","  70"," 6"," -4.29999999999999982","82","2.10000000000000009","1178"," -6.90000000000000036","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 388","11","  1.89999999999999991","49","1.80000000000000004","1406"," -7.70000000000000018","1.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 606","13","  6.00000000000000000","36","1.80000000000000004","1780"," -7.90000000000000036","1.120000000000000107"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 611","14","  7.29999999999999982","35","1.30000000000000004","1955"," -7.09999999999999964","0.989999999999999991"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 589","15","  7.59999999999999964","41","2.29999999999999982","1953"," -4.79999999999999982","0.739999999999999991"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 618","16","  6.40000000000000036","48","2.60000000000000009","1945"," -3.79999999999999982","0.220000000000000001"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 572","17","  6.00000000000000000","51","2.50000000000000000","1891"," -3.29999999999999982","0.059999999999999998"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 385","19","  5.00000000000000000","52","2.29999999999999982","1666"," -4.00000000000000000","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 359","20","  4.59999999999999964","51","1.19999999999999996","1585"," -4.59999999999999964","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
"2017-12-02"," 377","21","  4.09999999999999964","55","1.19999999999999996","1448"," -4.09999999999999964","0.000000000000000000"," 0.00000000000000000","0.00000000000000000","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0"
